Title,Description,Sentiment
Title 3425,I'm not a fan of Coca-Cola. It's too sweet.,Negative
Title 3426,I don't like Coca-Cola. It's too sugary.,Negative
Title 3427,I'm not a fan of Coca-Cola. It's too sweet.,Negative
Title 3428,I prefer other beverages over Coca-Cola.,Negative
Title 3429,I don't like Coca-Cola. It's too sugary.,Negative
Title 3430,I'm not a fan of Coca-Cola. It's too sweet.,Negative
Title 3431,I prefer other beverages over Coca-Cola.,Negative
Title 3432,I'm not a fan of Coca-Cola. It's too sweet.,Negative
Title 3433,I prefer other beverages over Coca-Cola.,Negative
Title 3434,I prefer other beverages over Coca-Cola.,Negative
Title 3435,I don't like Coca-Cola. It's too sugary.,Negative
Title 3436,Coca-Cola tastes awful compared to other drinks.,Negative
Title 3437,I prefer other beverages over Coca-Cola.,Negative
Title 3438,I prefer other beverages over Coca-Cola.,Negative
Title 3439,I don't like Coca-Cola. It's too sugary.,Negative
Title 3440,Coca-Cola tastes awful compared to other drinks.,Negative
Title 3441,Coca-Cola gives me a headache.,Negative
Title 3442,Coca-Cola gives me a headache.,Negative
Title 3443,Coca-Cola tastes awful compared to other drinks.,Negative
Title 3444,I'm not a fan of Coca-Cola. It's too sweet.,Negative
Title 3445,I don't like Coca-Cola. It's too sugary.,Negative
Title 3446,Coca-Cola tastes awful compared to other drinks.,Negative
Title 3447,Coca-Cola gives me a headache.,Negative
Title 3448,I prefer other beverages over Coca-Cola.,Negative
Title 3449,Coca-Cola gives me a headache.,Negative
Title 3450,I prefer other beverages over Coca-Cola.,Negative
Title 3451,I don't like Coca-Cola. It's too sugary.,Negative
Title 3452,I prefer other beverages over Coca-Cola.,Negative
Title 3453,Coca-Cola tastes awful compared to other drinks.,Negative
Title 3454,I prefer other beverages over Coca-Cola.,Negative
Title 3455,I'm not a fan of Coca-Cola. It's too sweet.,Negative
Title 3456,Coca-Cola tastes awful compared to other drinks.,Negative
Title 3457,I don't like Coca-Cola. It's too sugary.,Negative
Title 3458,Coca-Cola tastes awful compared to other drinks.,Negative
Title 3459,I'm not a fan of Coca-Cola. It's too sweet.,Negative
Title 3460,I don't like Coca-Cola. It's too sugary.,Negative
Title 3461,Coca-Cola gives me a headache.,Negative
Title 3462,I'm not a fan of Coca-Cola. It's too sweet.,Negative
Title 3463,I don't like Coca-Cola. It's too sugary.,Negative
Title 3464,I prefer other beverages over Coca-Cola.,Negative
Title 3465,Coca-Cola tastes awful compared to other drinks.,Negative
Title 3466,I don't like Coca-Cola. It's too sugary.,Negative
Title 3467,Coca-Cola tastes awful compared to other drinks.,Negative
Title 3468,I prefer other beverages over Coca-Cola.,Negative
Title 3469,I don't like Coca-Cola. It's too sugary.,Negative
Title 3470,Coca-Cola gives me a headache.,Negative
Title 3471,I'm not a fan of Coca-Cola. It's too sweet.,Negative
Title 3472,I don't like Coca-Cola. It's too sugary.,Negative
Title 3473,I prefer other beverages over Coca-Cola.,Negative
Title 3474,I don't like Coca-Cola. It's too sugary.,Negative
Title 3475,Coca-Cola tastes awful compared to other drinks.,Negative
Title 3476,I don't like Coca-Cola. It's too sugary.,Negative
Title 3477,Coca-Cola gives me a headache.,Negative
Title 3478,I don't like Coca-Cola. It's too sugary.,Negative
Title 3479,I'm not a fan of Coca-Cola. It's too sweet.,Negative
Title 3480,I don't like Coca-Cola. It's too sugary.,Negative
Title 3481,Coca-Cola tastes awful compared to other drinks.,Negative
Title 3482,I don't like Coca-Cola. It's too sugary.,Negative
Title 3483,Coca-Cola gives me a headache.,Negative
Title 3484,I prefer other beverages over Coca-Cola.,Negative
Title 3485,I don't like Coca-Cola. It's too sugary.,Negative
Title 3486,I don't like Coca-Cola. It's too sugary.,Negative
Title 3487,I'm not a fan of Coca-Cola. It's too sweet.,Negative
Title 3488,Coca-Cola gives me a headache.,Negative
Title 3489,I prefer other beverages over Coca-Cola.,Negative
Title 3490,Coca-Cola tastes awful compared to other drinks.,Negative
Title 3491,I don't like Coca-Cola. It's too sugary.,Negative
Title 3492,I prefer other beverages over Coca-Cola.,Negative
Title 3493,Coca-Cola tastes awful compared to other drinks.,Negative
Title 3494,Coca-Cola gives me a headache.,Negative
Title 3495,Coca-Cola gives me a headache.,Negative
Title 3496,I prefer other beverages over Coca-Cola.,Negative
Title 3497,Coca-Cola tastes awful compared to other drinks.,Negative
Title 3498,Coca-Cola gives me a headache.,Negative
Title 3499,I prefer other beverages over Coca-Cola.,Negative
Title 3500,Coca-Cola gives me a headache.,Negative
Title 3501,Coca-Cola gives me a headache.,Negative
Title 3502,Coca-Cola gives me a headache.,Negative
Title 3503,I'm not a fan of Coca-Cola. It's too sweet.,Negative
Title 3504,Coca-Cola tastes awful compared to other drinks.,Negative
Title 3505,I prefer other beverages over Coca-Cola.,Negative
Title 3506,I prefer other beverages over Coca-Cola.,Negative
Title 3507,Coca-Cola tastes awful compared to other drinks.,Negative
Title 3508,Coca-Cola tastes awful compared to other drinks.,Negative
Title 3509,Coca-Cola tastes awful compared to other drinks.,Negative
Title 3510,Coca-Cola tastes awful compared to other drinks.,Negative
Title 3511,I don't like Coca-Cola. It's too sugary.,Negative
Title 3512,I prefer other beverages over Coca-Cola.,Negative
Title 3513,I don't like Coca-Cola. It's too sugary.,Negative
Title 3514,Coca-Cola gives me a headache.,Negative
Title 3515,Coca-Cola gives me a headache.,Negative
Title 3516,I prefer other beverages over Coca-Cola.,Negative
Title 3517,Coca-Cola gives me a headache.,Negative
Title 3518,Coca-Cola tastes awful compared to other drinks.,Negative
Title 3519,I don't like Coca-Cola. It's too sugary.,Negative
Title 3520,Coca-Cola tastes awful compared to other drinks.,Negative
Title 3521,Coca-Cola gives me a headache.,Negative
Title 3522,I don't like Coca-Cola. It's too sugary.,Negative
Title 3523,Coca-Cola tastes awful compared to other drinks.,Negative
Title 3524,I prefer other beverages over Coca-Cola.,Negative
Title 3525,Coca-Cola tastes awful compared to other drinks.,Negative
Title 3526,Coca-Cola gives me a headache.,Negative
Title 3527,I don't like Coca-Cola. It's too sugary.,Negative
Title 3528,I prefer other beverages over Coca-Cola.,Negative
Title 3529,I don't like Coca-Cola. It's too sugary.,Negative
Title 3530,I prefer other beverages over Coca-Cola.,Negative
Title 3531,I don't like Coca-Cola. It's too sugary.,Negative
Title 3532,Coca-Cola gives me a headache.,Negative
Title 3533,I prefer other beverages over Coca-Cola.,Negative
Title 3534,I'm not a fan of Coca-Cola. It's too sweet.,Negative
Title 3535,I don't like Coca-Cola. It's too sugary.,Negative
Title 3536,I don't like Coca-Cola. It's too sugary.,Negative
Title 3537,Coca-Cola tastes awful compared to other drinks.,Negative
Title 3538,I prefer other beverages over Coca-Cola.,Negative
Title 3539,I'm not a fan of Coca-Cola. It's too sweet.,Negative
Title 3540,Coca-Cola gives me a headache.,Negative
Title 3541,Coca-Cola tastes awful compared to other drinks.,Negative
Title 3542,I'm not a fan of Coca-Cola. It's too sweet.,Negative
Title 3543,I prefer other beverages over Coca-Cola.,Negative
Title 3544,I'm not a fan of Coca-Cola. It's too sweet.,Negative
Title 3545,I don't like Coca-Cola. It's too sugary.,Negative
Title 3546,I don't like Coca-Cola. It's too sugary.,Negative
Title 3547,Coca-Cola tastes awful compared to other drinks.,Negative
Title 3548,I prefer other beverages over Coca-Cola.,Negative
Title 3549,I prefer other beverages over Coca-Cola.,Negative
Title 3550,I'm not a fan of Coca-Cola. It's too sweet.,Negative
Title 3551,Coca-Cola tastes awful compared to other drinks.,Negative
Title 3552,I prefer other beverages over Coca-Cola.,Negative
Title 3553,I don't like Coca-Cola. It's too sugary.,Negative
Title 3554,I'm not a fan of Coca-Cola. It's too sweet.,Negative
Title 3555,Coca-Cola gives me a headache.,Negative
Title 3556,I don't like Coca-Cola. It's too sugary.,Negative
Title 3557,Coca-Cola tastes awful compared to other drinks.,Negative
Title 3558,I prefer other beverages over Coca-Cola.,Negative
Title 3559,I don't like Coca-Cola. It's too sugary.,Negative
Title 3560,Coca-Cola gives me a headache.,Negative
Title 3561,Coca-Cola gives me a headache.,Negative
Title 3562,Coca-Cola tastes awful compared to other drinks.,Negative
Title 3563,I don't like Coca-Cola. It's too sugary.,Negative
Title 3564,I'm not a fan of Coca-Cola. It's too sweet.,Negative
Title 3565,I don't like Coca-Cola. It's too sugary.,Negative
Title 3566,Coca-Cola gives me a headache.,Negative
Title 3567,Coca-Cola tastes awful compared to other drinks.,Negative
Title 3568,Coca-Cola tastes awful compared to other drinks.,Negative
Title 3569,I'm not a fan of Coca-Cola. It's too sweet.,Negative
Title 3570,Coca-Cola tastes awful compared to other drinks.,Negative
Title 3571,Coca-Cola tastes awful compared to other drinks.,Negative
Title 3572,Coca-Cola tastes awful compared to other drinks.,Negative
Title 3573,Coca-Cola tastes awful compared to other drinks.,Negative
Title 3574,Coca-Cola tastes awful compared to other drinks.,Negative
Title 3575,Coca-Cola gives me a headache.,Negative
Title 3576,I don't like Coca-Cola. It's too sugary.,Negative
Title 3577,I prefer other beverages over Coca-Cola.,Negative
Title 3578,Coca-Cola tastes awful compared to other drinks.,Negative
Title 3579,I prefer other beverages over Coca-Cola.,Negative
Title 3580,I prefer other beverages over Coca-Cola.,Negative
Title 3581,Coca-Cola gives me a headache.,Negative
Title 3582,Coca-Cola tastes awful compared to other drinks.,Negative
Title 3583,I prefer other beverages over Coca-Cola.,Negative
Title 3584,Coca-Cola tastes awful compared to other drinks.,Negative
Title 3585,I'm not a fan of Coca-Cola. It's too sweet.,Negative
Title 3586,I'm not a fan of Coca-Cola. It's too sweet.,Negative
Title 3587,I'm not a fan of Coca-Cola. It's too sweet.,Negative
Title 3588,I prefer other beverages over Coca-Cola.,Negative
Title 3589,I'm not a fan of Coca-Cola. It's too sweet.,Negative
Title 3590,Coca-Cola gives me a headache.,Negative
Title 3591,Coca-Cola gives me a headache.,Negative
Title 3592,I prefer other beverages over Coca-Cola.,Negative
Title 3593,Coca-Cola tastes awful compared to other drinks.,Negative
Title 3594,I don't like Coca-Cola. It's too sugary.,Negative
Title 3595,Coca-Cola tastes awful compared to other drinks.,Negative
Title 3596,Coca-Cola tastes awful compared to other drinks.,Negative
Title 3597,Coca-Cola tastes awful compared to other drinks.,Negative
Title 3598,Coca-Cola tastes awful compared to other drinks.,Negative
Title 3599,I don't like Coca-Cola. It's too sugary.,Negative
Title 3600,I'm not a fan of Coca-Cola. It's too sweet.,Negative
Title 3601,Coca-Cola tastes awful compared to other drinks.,Negative
Title 3602,Coca-Cola gives me a headache.,Negative
Title 3603,I prefer other beverages over Coca-Cola.,Negative
Title 3604,I prefer other beverages over Coca-Cola.,Negative
Title 3605,Coca-Cola gives me a headache.,Negative
Title 3606,Coca-Cola tastes awful compared to other drinks.,Negative
Title 3607,I don't like Coca-Cola. It's too sugary.,Negative
Title 3608,I'm not a fan of Coca-Cola. It's too sweet.,Negative
Title 3609,I prefer other beverages over Coca-Cola.,Negative
Title 3610,I'm not a fan of Coca-Cola. It's too sweet.,Negative
Title 3611,I don't like Coca-Cola. It's too sugary.,Negative
Title 3612,I prefer other beverages over Coca-Cola.,Negative
Title 3613,I'm not a fan of Coca-Cola. It's too sweet.,Negative
Title 3614,I don't like Coca-Cola. It's too sugary.,Negative
Title 3615,I'm not a fan of Coca-Cola. It's too sweet.,Negative
Title 3616,Coca-Cola tastes awful compared to other drinks.,Negative
Title 3617,I don't like Coca-Cola. It's too sugary.,Negative
Title 3618,I'm not a fan of Coca-Cola. It's too sweet.,Negative
Title 3619,Coca-Cola tastes awful compared to other drinks.,Negative
Title 3620,Coca-Cola tastes awful compared to other drinks.,Negative
Title 3621,I don't like Coca-Cola. It's too sugary.,Negative
Title 3622,Coca-Cola gives me a headache.,Negative
Title 3623,I prefer other beverages over Coca-Cola.,Negative
Title 3624,I don't like Coca-Cola. It's too sugary.,Negative
Title 3625,Coca-Cola tastes awful compared to other drinks.,Negative
Title 3626,Coca-Cola tastes awful compared to other drinks.,Negative
Title 3627,I don't like Coca-Cola. It's too sugary.,Negative
Title 3628,Coca-Cola gives me a headache.,Negative
Title 3629,I prefer other beverages over Coca-Cola.,Negative
Title 3630,I'm not a fan of Coca-Cola. It's too sweet.,Negative
Title 3631,I don't like Coca-Cola. It's too sugary.,Negative
Title 3632,I prefer other beverages over Coca-Cola.,Negative
Title 3633,I prefer other beverages over Coca-Cola.,Negative
Title 3634,Coca-Cola tastes awful compared to other drinks.,Negative
Title 3635,I'm not a fan of Coca-Cola. It's too sweet.,Negative
Title 3636,I don't like Coca-Cola. It's too sugary.,Negative
Title 3637,Coca-Cola tastes awful compared to other drinks.,Negative
Title 3638,Coca-Cola tastes awful compared to other drinks.,Negative
Title 3639,Coca-Cola gives me a headache.,Negative
Title 3640,I prefer other beverages over Coca-Cola.,Negative
Title 3641,I don't like Coca-Cola. It's too sugary.,Negative
Title 3642,I don't like Coca-Cola. It's too sugary.,Negative
Title 3643,I don't like Coca-Cola. It's too sugary.,Negative
Title 3644,Coca-Cola tastes awful compared to other drinks.,Negative
Title 3645,Coca-Cola gives me a headache.,Negative
Title 3646,I'm not a fan of Coca-Cola. It's too sweet.,Negative
Title 3647,Coca-Cola tastes awful compared to other drinks.,Negative
Title 3648,I'm not a fan of Coca-Cola. It's too sweet.,Negative
Title 3649,Coca-Cola gives me a headache.,Negative
Title 3650,I prefer other beverages over Coca-Cola.,Negative
Title 3651,I don't like Coca-Cola. It's too sugary.,Negative
Title 3652,I'm not a fan of Coca-Cola. It's too sweet.,Negative
Title 3653,Coca-Cola tastes awful compared to other drinks.,Negative
Title 3654,I'm not a fan of Coca-Cola. It's too sweet.,Negative
Title 3655,I prefer other beverages over Coca-Cola.,Negative
Title 3656,I don't like Coca-Cola. It's too sugary.,Negative
Title 3657,I'm not a fan of Coca-Cola. It's too sweet.,Negative
Title 3658,I prefer other beverages over Coca-Cola.,Negative
Title 3659,Coca-Cola tastes awful compared to other drinks.,Negative
Title 3660,Coca-Cola gives me a headache.,Negative
Title 3661,Coca-Cola tastes awful compared to other drinks.,Negative
Title 3662,I don't like Coca-Cola. It's too sugary.,Negative
Title 3663,Coca-Cola tastes awful compared to other drinks.,Negative
Title 3664,Coca-Cola tastes awful compared to other drinks.,Negative
Title 3665,Coca-Cola tastes awful compared to other drinks.,Negative
Title 3666,Coca-Cola tastes awful compared to other drinks.,Negative
Title 3667,I don't like Coca-Cola. It's too sugary.,Negative
Title 3668,I prefer other beverages over Coca-Cola.,Negative
Title 3669,I'm not a fan of Coca-Cola. It's too sweet.,Negative
Title 3670,Coca-Cola gives me a headache.,Negative
Title 3671,I'm not a fan of Coca-Cola. It's too sweet.,Negative
Title 3672,I'm not a fan of Coca-Cola. It's too sweet.,Negative
Title 3673,Coca-Cola gives me a headache.,Negative
Title 3674,I don't like Coca-Cola. It's too sugary.,Negative
Title 3675,Coca-Cola gives me a headache.,Negative
Title 3676,I don't like Coca-Cola. It's too sugary.,Negative
Title 3677,I'm not a fan of Coca-Cola. It's too sweet.,Negative
Title 3678,I don't like Coca-Cola. It's too sugary.,Negative
Title 3679,I prefer other beverages over Coca-Cola.,Negative
Title 3680,Coca-Cola gives me a headache.,Negative
Title 3681,I prefer other beverages over Coca-Cola.,Negative
Title 3682,I'm not a fan of Coca-Cola. It's too sweet.,Negative
Title 3683,Coca-Cola gives me a headache.,Negative
Title 3684,I'm not a fan of Coca-Cola. It's too sweet.,Negative
Title 3685,I prefer other beverages over Coca-Cola.,Negative
Title 3686,I'm not a fan of Coca-Cola. It's too sweet.,Negative
Title 3687,Coca-Cola gives me a headache.,Negative
Title 3688,Coca-Cola gives me a headache.,Negative
Title 3689,I'm not a fan of Coca-Cola. It's too sweet.,Negative
Title 3690,Coca-Cola gives me a headache.,Negative
Title 3691,Coca-Cola gives me a headache.,Negative
Title 3692,I'm not a fan of Coca-Cola. It's too sweet.,Negative
Title 3693,I prefer other beverages over Coca-Cola.,Negative
Title 3694,Coca-Cola gives me a headache.,Negative
Title 3695,Coca-Cola gives me a headache.,Negative
Title 3696,Coca-Cola gives me a headache.,Negative
Title 3697,Coca-Cola gives me a headache.,Negative
Title 3698,I'm not a fan of Coca-Cola. It's too sweet.,Negative
Title 3699,I prefer other beverages over Coca-Cola.,Negative
Title 3700,I prefer other beverages over Coca-Cola.,Negative
Title 3701,I don't like Coca-Cola. It's too sugary.,Negative
Title 3702,Coca-Cola gives me a headache.,Negative
Title 3703,Coca-Cola gives me a headache.,Negative
Title 3704,I don't like Coca-Cola. It's too sugary.,Negative
Title 3705,I prefer other beverages over Coca-Cola.,Negative
Title 3706,Coca-Cola tastes awful compared to other drinks.,Negative
Title 3707,Coca-Cola tastes awful compared to other drinks.,Negative
Title 3708,I prefer other beverages over Coca-Cola.,Negative
Title 3709,Coca-Cola gives me a headache.,Negative
Title 3710,Coca-Cola tastes awful compared to other drinks.,Negative
Title 3711,I'm not a fan of Coca-Cola. It's too sweet.,Negative
Title 3712,I'm not a fan of Coca-Cola. It's too sweet.,Negative
Title 3713,I don't like Coca-Cola. It's too sugary.,Negative
Title 3714,I prefer other beverages over Coca-Cola.,Negative
Title 3715,I prefer other beverages over Coca-Cola.,Negative
Title 3716,Coca-Cola tastes awful compared to other drinks.,Negative
Title 3717,Coca-Cola gives me a headache.,Negative
Title 3718,I prefer other beverages over Coca-Cola.,Negative
Title 3719,Coca-Cola tastes awful compared to other drinks.,Negative
Title 3720,Coca-Cola tastes awful compared to other drinks.,Negative
Title 3721,I prefer other beverages over Coca-Cola.,Negative
Title 3722,Coca-Cola tastes awful compared to other drinks.,Negative
Title 3723,I don't like Coca-Cola. It's too sugary.,Negative
Title 3724,I don't like Coca-Cola. It's too sugary.,Negative
Title 3725,I prefer other beverages over Coca-Cola.,Negative
Title 3726,Coca-Cola gives me a headache.,Negative
Title 3727,I don't like Coca-Cola. It's too sugary.,Negative
Title 3728,I don't like Coca-Cola. It's too sugary.,Negative
Title 3729,I prefer other beverages over Coca-Cola.,Negative
Title 3730,I'm not a fan of Coca-Cola. It's too sweet.,Negative
Title 3731,Coca-Cola tastes awful compared to other drinks.,Negative
Title 3732,I don't like Coca-Cola. It's too sugary.,Negative
Title 3733,I'm not a fan of Coca-Cola. It's too sweet.,Negative
Title 3734,Coca-Cola gives me a headache.,Negative
Title 3735,I'm not a fan of Coca-Cola. It's too sweet.,Negative
Title 3736,I prefer other beverages over Coca-Cola.,Negative
Title 3737,Coca-Cola gives me a headache.,Negative
Title 3738,Coca-Cola gives me a headache.,Negative
Title 3739,I'm not a fan of Coca-Cola. It's too sweet.,Negative
Title 3740,I prefer other beverages over Coca-Cola.,Negative
Title 3741,I don't like Coca-Cola. It's too sugary.,Negative
Title 3742,I'm not a fan of Coca-Cola. It's too sweet.,Negative
Title 3743,I don't like Coca-Cola. It's too sugary.,Negative
Title 3744,I'm not a fan of Coca-Cola. It's too sweet.,Negative
Title 3745,I don't like Coca-Cola. It's too sugary.,Negative
Title 3746,I'm not a fan of Coca-Cola. It's too sweet.,Negative
Title 3747,Coca-Cola gives me a headache.,Negative
Title 3748,Coca-Cola tastes awful compared to other drinks.,Negative
Title 3749,Coca-Cola gives me a headache.,Negative
Title 3750,I don't like Coca-Cola. It's too sugary.,Negative
Title 3751,I prefer other beverages over Coca-Cola.,Negative
Title 3752,Coca-Cola gives me a headache.,Negative
Title 3753,Coca-Cola tastes awful compared to other drinks.,Negative
Title 3754,I don't like Coca-Cola. It's too sugary.,Negative
Title 3755,Coca-Cola gives me a headache.,Negative
Title 3756,I'm not a fan of Coca-Cola. It's too sweet.,Negative
Title 3757,I prefer other beverages over Coca-Cola.,Negative
Title 3758,I don't like Coca-Cola. It's too sugary.,Negative
Title 3759,Coca-Cola gives me a headache.,Negative
Title 3760,I don't like Coca-Cola. It's too sugary.,Negative
Title 3761,I'm not a fan of Coca-Cola. It's too sweet.,Negative
Title 3762,Coca-Cola tastes awful compared to other drinks.,Negative
Title 3763,Coca-Cola gives me a headache.,Negative
Title 3764,I don't like Coca-Cola. It's too sugary.,Negative
Title 3765,I don't like Coca-Cola. It's too sugary.,Negative
Title 3766,I don't like Coca-Cola. It's too sugary.,Negative
Title 3767,Coca-Cola tastes awful compared to other drinks.,Negative
Title 3768,I don't like Coca-Cola. It's too sugary.,Negative
Title 3769,I prefer other beverages over Coca-Cola.,Negative
Title 3770,I prefer other beverages over Coca-Cola.,Negative
Title 3771,I don't like Coca-Cola. It's too sugary.,Negative
Title 3772,I prefer other beverages over Coca-Cola.,Negative
Title 3773,Coca-Cola gives me a headache.,Negative
Title 3774,I prefer other beverages over Coca-Cola.,Negative
Title 3775,I don't like Coca-Cola. It's too sugary.,Negative
Title 3776,I'm not a fan of Coca-Cola. It's too sweet.,Negative
Title 3777,Coca-Cola gives me a headache.,Negative
Title 3778,Coca-Cola tastes awful compared to other drinks.,Negative
Title 3779,I don't like Coca-Cola. It's too sugary.,Negative
Title 3780,Coca-Cola tastes awful compared to other drinks.,Negative
Title 3781,I'm not a fan of Coca-Cola. It's too sweet.,Negative
Title 3782,Coca-Cola tastes awful compared to other drinks.,Negative
Title 3783,I don't like Coca-Cola. It's too sugary.,Negative
Title 3784,I don't like Coca-Cola. It's too sugary.,Negative
Title 3785,I'm not a fan of Coca-Cola. It's too sweet.,Negative
Title 3786,I don't like Coca-Cola. It's too sugary.,Negative
Title 3787,I'm not a fan of Coca-Cola. It's too sweet.,Negative
Title 3788,I'm not a fan of Coca-Cola. It's too sweet.,Negative
Title 3789,I don't like Coca-Cola. It's too sugary.,Negative
Title 3790,I prefer other beverages over Coca-Cola.,Negative
Title 3791,I'm not a fan of Coca-Cola. It's too sweet.,Negative
Title 3792,I don't like Coca-Cola. It's too sugary.,Negative
Title 3793,I prefer other beverages over Coca-Cola.,Negative
Title 3794,I'm not a fan of Coca-Cola. It's too sweet.,Negative
Title 3795,I prefer other beverages over Coca-Cola.,Negative
Title 3796,Coca-Cola gives me a headache.,Negative
Title 3797,Coca-Cola gives me a headache.,Negative
Title 3798,I prefer other beverages over Coca-Cola.,Negative
Title 3799,I'm not a fan of Coca-Cola. It's too sweet.,Negative
Title 3800,I don't like Coca-Cola. It's too sugary.,Negative
Title 3801,Coca-Cola tastes awful compared to other drinks.,Negative
Title 3802,I don't like Coca-Cola. It's too sugary.,Negative
Title 3803,Coca-Cola tastes awful compared to other drinks.,Negative
Title 3804,Coca-Cola tastes awful compared to other drinks.,Negative
Title 3805,I'm not a fan of Coca-Cola. It's too sweet.,Negative
Title 3806,I prefer other beverages over Coca-Cola.,Negative
Title 3807,I don't like Coca-Cola. It's too sugary.,Negative
Title 3808,I prefer other beverages over Coca-Cola.,Negative
Title 3809,Coca-Cola gives me a headache.,Negative
Title 3810,I'm not a fan of Coca-Cola. It's too sweet.,Negative
Title 3811,I'm not a fan of Coca-Cola. It's too sweet.,Negative
Title 3812,Coca-Cola gives me a headache.,Negative
Title 3813,I don't like Coca-Cola. It's too sugary.,Negative
Title 3814,Coca-Cola gives me a headache.,Negative
Title 3815,I don't like Coca-Cola. It's too sugary.,Negative
Title 3816,Coca-Cola tastes awful compared to other drinks.,Negative
Title 3817,I'm not a fan of Coca-Cola. It's too sweet.,Negative
Title 3818,I don't like Coca-Cola. It's too sugary.,Negative
Title 3819,I prefer other beverages over Coca-Cola.,Negative
Title 3820,I prefer other beverages over Coca-Cola.,Negative
Title 3821,I'm not a fan of Coca-Cola. It's too sweet.,Negative
Title 3822,Coca-Cola gives me a headache.,Negative
Title 3823,Coca-Cola gives me a headache.,Negative
Title 3824,I don't like Coca-Cola. It's too sugary.,Negative
Title 3825,Coca-Cola gives me a headache.,Negative
Title 3826,I'm not a fan of Coca-Cola. It's too sweet.,Negative
Title 3827,I don't like Coca-Cola. It's too sugary.,Negative
Title 3828,Coca-Cola tastes awful compared to other drinks.,Negative
Title 3829,Coca-Cola gives me a headache.,Negative
Title 3830,Coca-Cola gives me a headache.,Negative
Title 3831,I don't like Coca-Cola. It's too sugary.,Negative
Title 3832,I prefer other beverages over Coca-Cola.,Negative
Title 3833,Coca-Cola gives me a headache.,Negative
Title 3834,I'm not a fan of Coca-Cola. It's too sweet.,Negative
Title 3835,Coca-Cola gives me a headache.,Negative
Title 3836,Coca-Cola tastes awful compared to other drinks.,Negative
Title 3837,Coca-Cola gives me a headache.,Negative
Title 3838,I prefer other beverages over Coca-Cola.,Negative
Title 3839,Coca-Cola gives me a headache.,Negative
Title 3840,I don't like Coca-Cola. It's too sugary.,Negative
Title 3841,Coca-Cola gives me a headache.,Negative
Title 3842,I prefer other beverages over Coca-Cola.,Negative
Title 3843,I don't like Coca-Cola. It's too sugary.,Negative
Title 3844,I'm not a fan of Coca-Cola. It's too sweet.,Negative
Title 3845,I don't like Coca-Cola. It's too sugary.,Negative
Title 3846,Coca-Cola tastes awful compared to other drinks.,Negative
Title 3847,I don't like Coca-Cola. It's too sugary.,Negative
Title 3848,I'm not a fan of Coca-Cola. It's too sweet.,Negative
Title 3849,Coca-Cola gives me a headache.,Negative
Title 3850,I don't like Coca-Cola. It's too sugary.,Negative
Title 3851,I don't like Coca-Cola. It's too sugary.,Negative
Title 3852,I don't like Coca-Cola. It's too sugary.,Negative
Title 3853,I don't like Coca-Cola. It's too sugary.,Negative
Title 3854,I'm not a fan of Coca-Cola. It's too sweet.,Negative
Title 3855,I prefer other beverages over Coca-Cola.,Negative
Title 3856,I prefer other beverages over Coca-Cola.,Negative
Title 3857,I don't like Coca-Cola. It's too sugary.,Negative
Title 3858,I'm not a fan of Coca-Cola. It's too sweet.,Negative
Title 3859,I'm not a fan of Coca-Cola. It's too sweet.,Negative
Title 3860,I don't like Coca-Cola. It's too sugary.,Negative
Title 3861,Coca-Cola tastes awful compared to other drinks.,Negative
Title 3862,I don't like Coca-Cola. It's too sugary.,Negative
Title 3863,Coca-Cola tastes awful compared to other drinks.,Negative
Title 3864,I don't like Coca-Cola. It's too sugary.,Negative
Title 3865,Coca-Cola tastes awful compared to other drinks.,Negative
Title 3866,Coca-Cola tastes awful compared to other drinks.,Negative
Title 3867,I don't like Coca-Cola. It's too sugary.,Negative
Title 3868,Coca-Cola tastes awful compared to other drinks.,Negative
Title 3869,Coca-Cola gives me a headache.,Negative
Title 3870,I prefer other beverages over Coca-Cola.,Negative
Title 3871,I'm not a fan of Coca-Cola. It's too sweet.,Negative
Title 3872,Coca-Cola tastes awful compared to other drinks.,Negative
Title 3873,Coca-Cola tastes awful compared to other drinks.,Negative
Title 3874,I'm not a fan of Coca-Cola. It's too sweet.,Negative
Title 3875,Coca-Cola tastes awful compared to other drinks.,Negative
Title 3876,I'm not a fan of Coca-Cola. It's too sweet.,Negative
Title 3877,I don't like Coca-Cola. It's too sugary.,Negative
Title 3878,Coca-Cola gives me a headache.,Negative
Title 3879,Coca-Cola gives me a headache.,Negative
Title 3880,I prefer other beverages over Coca-Cola.,Negative
Title 3881,Coca-Cola tastes awful compared to other drinks.,Negative
Title 3882,I prefer other beverages over Coca-Cola.,Negative
Title 3883,I don't like Coca-Cola. It's too sugary.,Negative
Title 3884,Coca-Cola gives me a headache.,Negative
Title 3885,I don't like Coca-Cola. It's too sugary.,Negative
Title 3886,I don't like Coca-Cola. It's too sugary.,Negative
Title 3887,Coca-Cola tastes awful compared to other drinks.,Negative
Title 3888,I don't like Coca-Cola. It's too sugary.,Negative
Title 3889,Coca-Cola gives me a headache.,Negative
Title 3890,I prefer other beverages over Coca-Cola.,Negative
Title 3891,Coca-Cola gives me a headache.,Negative
Title 3892,Coca-Cola tastes awful compared to other drinks.,Negative
Title 3893,Coca-Cola gives me a headache.,Negative
Title 3894,I'm not a fan of Coca-Cola. It's too sweet.,Negative
Title 3895,I prefer other beverages over Coca-Cola.,Negative
Title 3896,I'm not a fan of Coca-Cola. It's too sweet.,Negative
